#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
T2_UBT_000000000001	4.3838	1209	0.0000	99.8346	1207	27	26	0.3094	4	1.69
T2_UBT_000000000002	6.7520	1258	0.0000	99.3641	1250	43	42	0.2781	6	3.99
T2_UBT_000000000003	15.5313	1261	0.0000	100.0000	1261	103	93	0.2743	7	15.03
T2_UBT_000000000004	5.7480	1409	0.0000	100.0000	1409	40	41	0.3431	6	2.52
T2_UBT_000000000005	4.1100	1264	0.0000	100.0000	1264	27	25	0.2171	4	1.55
T2_UBT_000000000006	5.6465	1239	0.0000	99.6772	1235	33	37	0.3117	5	3.24
T2_UBT_000000000007	4.6673	1007	0.0000	100.0000	1007	25	22	0.2204	5	1.81
T2_UBT_000000000008	4.3610	1651	0.0000	100.0000	1651	35	37	0.3904	4	1.87
T2_UBT_000000000009	4.8327	1076	0.0000	100.0000	1076	25	27	0.3498	5	1.73
T2_UBT_000000000010	4.6468	1441	0.0000	100.0000	1441	33	34	0.2722	5	1.86
T2_UBT_000000000011	5.6228	1331	0.0000	99.8497	1329	40	35	0.3589	6	2.03
T2_UBT_000000000012	4.9390	1721	0.0000	99.5933	1714	41	44	0.3353	5	2.13
T2_UBT_000000000013	4.4012	1139	0.0000	100.0000	1139	24	26	0.3486	4	1.74
T2_UBT_000000000014	6.8200	1217	0.0000	100.0000	1217	42	41	0.2731	7	2.88
T2_UBT_000000000015	6.6554	1007	0.0000	100.0000	1007	35	32	0.3491	7	3.18
T2_UBT_000000000016	4.5777	1267	0.0000	98.2636	1245	28	30	0.3528	4	1.98
T2_UBT_000000000017	4.3807	1849	0.0000	100.0000	1849	42	39	0.2683	4	1.77
T2_UBT_000000000018	4.4964	1668	0.0000	100.0000	1668	39	36	0.3799	4	2.18
T2_UBT_000000000019	6.0195	1742	0.0000	98.9093	1723	52	53	0.2408	5	3.30
T2_UBT_000000000020	6.2440	2033	0.0000	99.9016	2031	64	63	0.3765	6	2.28
T2_UBT_000000000021	8.7183	1065	0.0000	100.0000	1065	42	51	0.2932	9	5.27
T2_UBT_000000000022	5.2194	2644	0.0000	100.0000	2644	69	69	0.3678	5	2.20
T2_UBT_000000000023	4.2279	1062	0.0000	100.0000	1062	21	24	0.3573	4	1.52
T2_UBT_000000000024	4.9037	1713	0.0000	100.0000	1713	42	42	0.3389	5	2.09
T2_UBT_000000000025	6.0227	1677	0.0000	100.0000	1677	51	50	0.2843	6	2.32
T2_UBT_000000000026	4.2093	1758	0.0000	100.0000	1758	38	36	0.2804	4	1.66
T2_UBT_000000000027	3.8573	1037	0.0000	100.0000	1037	22	18	0.3555	4	1.85
T2_UBT_000000000028	4.1468	1158	0.0000	100.0000	1158	22	26	0.2625	4	1.95
T2_UBT_000000000029	5.7797	1575	0.0000	97.5873	1537	44	47	0.2342	5	2.97
T2_UBT_000000000030	4.5746	1093	0.0000	100.0000	1093	23	27	0.3516	4	1.73
T2_UBT_000000000031	4.9402	1070	0.0000	99.8131	1068	27	26	0.2623	5	1.68
T2_UBT_000000000032	4.9028	1018	0.0000	100.0000	1018	25	25	0.2880	5	1.92
T2_UBT_000000000033	4.7307	1374	0.0000	100.0000	1374	33	32	0.3554	5	1.56
T2_UBT_000000000034	4.6739	1561	0.0000	100.0000	1561	37	36	0.3562	5	1.80
T2_UBT_000000000035	5.7198	1556	0.0000	100.0000	1556	44	45	0.3948	5	2.52
T2_UBT_000000000036	4.9822	2188	0.0000	100.0000	2188	55	54	0.3686	5	2.46
T2_UBT_000000000037	5.6707	1834	0.0000	100.0000	1834	52	52	0.3863	5	2.86
T2_UBT_000000000038	5.0595	1008	0.0000	100.0000	1008	24	27	0.2492	5	2.59
T2_UBT_000000000039	14.9566	1061	0.0000	100.0000	1061	82	77	0.4071	13	9.05
T2_UBT_000000000040	4.8264	1699	0.0000	100.0000	1699	37	45	0.2374	4	1.94
T2_UBT_000000000041	4.8849	1329	0.0000	100.0000	1329	32	33	0.3066	5	1.78
T2_UBT_000000000042	5.6589	1202	0.0000	100.0000	1202	32	36	0.3678	4	3.04
T2_UBT_000000000043	5.1737	2706	0.0000	100.0000	2706	71	69	0.3726	5	2.24
T2_UBT_000000000044	41.1693	1075	0.0000	100.0000	1075	217	224	0.3307	48	20.99
T2_UBT_000000000045	5.6572	1202	0.0000	99.9168	1201	36	32	0.3590	6	2.07
T2_UBT_000000000046	7.5881	1265	0.0000	99.3676	1257	48	48	0.3824	7	3.68
T2_UBT_000000000047	5.1852	1485	0.0000	100.0000	1485	41	36	0.3426	5	2.28
T2_UBT_000000000048	5.3144	1129	0.0000	100.0000	1129	30	30	0.3453	5	2.77
T2_UBT_000000000049	5.5186	4331	0.0000	100.0000	4331	119	120	0.3674	5	2.70
T2_UBT_000000000050	5.0940	1649	0.0000	99.4542	1640	40	44	0.2587	5	1.98
T2_UBT_000000000051	17.2942	1635	0.0000	100.0000	1635	140	143	0.2764	7	30.99
T2_UBT_000000000052	6.8663	1077	0.0000	100.0000	1077	38	36	0.2850	7	2.19
T2_UBT_000000000053	5.9206	2027	0.0000	97.4840	1976	59	61	0.2893	6	2.81
T2_UBT_000000000054	6.0256	2537	0.0000	100.0000	2537	77	76	0.3850	6	2.27
T2_UBT_000000000055	9.5344	1089	0.0000	100.0000	1089	48	56	0.2903	6	7.85
T2_UBT_000000000056	4.5453	2659	0.0000	100.0000	2659	60	61	0.3615	5	1.97
T2_UBT_000000000057	5.3081	1071	0.0000	100.0000	1071	27	30	0.2239	6	2.21
T2_UBT_000000000058	5.2220	2239	0.0000	100.0000	2239	58	59	0.3338	4	2.64
T2_UBT_000000000059	5.0233	1074	0.0000	100.0000	1074	27	27	0.2424	5	2.13
