#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
T2_FOM_000000000001	214.7565	1187	0.0000	100.0000	1187	1302	1248	0.5727	208	89.76
T2_FOM_000000000002	7.4331	1009	0.0000	100.0000	1009	37	38	0.3635	7	2.56
T2_FOM_000000000003	6.8715	1004	0.0000	100.0000	1004	34	35	0.3642	6	5.48
T2_FOM_000000000004	15.2787	1238	0.0000	99.9192	1237	108	81	0.4286	11	12.81
T2_FOM_000000000005	6.3886	1894	0.0000	99.3136	1881	60	61	0.3362	6	2.67
T2_FOM_000000000006	6.7199	1114	0.0000	100.0000	1114	36	39	0.2933	6	2.17
T2_FOM_000000000007	10.3896	1404	0.0000	97.1510	1364	66	80	0.3231	10	5.06
T2_FOM_000000000008	9.7075	1460	0.0000	100.0000	1460	68	74	0.4211	7	6.47
T2_FOM_000000000009	7.5407	1008	0.0000	100.0000	1008	37	39	0.3980	8	3.34
T2_FOM_000000000010	6.5449	1314	0.0000	100.0000	1314	42	44	0.2058	7	2.82
T2_FOM_000000000011	14.3916	1195	0.0000	94.3096	1127	79	93	0.3343	14	8.83
T2_FOM_000000000012	7.0602	1346	0.0000	100.0000	1346	46	49	0.3498	7	2.72
T2_FOM_000000000013	10.6276	1751	0.0000	98.8007	1730	93	93	0.3475	9	8.52
T2_FOM_000000000014	4.5706	1225	0.0000	98.4490	1206	27	29	0.3534	4	1.95
T2_FOM_000000000015	13.4087	1304	0.0000	99.8466	1302	77	98	0.3155	9	11.62
T2_FOM_000000000016	8.7260	1719	0.0000	98.7202	1697	74	76	0.3277	9	3.06
T2_FOM_000000000017	11.7723	2112	0.0000	100.0000	2112	128	121	0.3441	10	7.09
T2_FOM_000000000018	7.6535	1189	0.0000	100.0000	1189	45	46	0.3324	8	3.17
T2_FOM_000000000019	6.2517	2046	0.0000	100.0000	2046	64	64	0.4102	6	2.23
T2_FOM_000000000020	7.5064	2597	0.0000	100.0000	2597	97	98	0.3338	8	2.58
T2_FOM_000000000021	10.3269	2646	0.0000	100.0000	2646	138	136	0.3120	10	4.26
T2_FOM_000000000022	9.2803	1520	0.0000	98.3553	1495	76	65	0.3877	8	5.54
T2_FOM_000000000023	28.5176	1279	0.0000	99.1400	1268	189	176	0.4273	17	23.75
T2_FOM_000000000024	6.7570	2086	0.0000	100.0000	2086	71	70	0.3539	7	2.26
T2_FOM_000000000025	8.8580	2788	0.0000	97.7762	2726	122	125	0.3416	9	3.44
T2_FOM_000000000026	7.1204	2766	0.0000	100.0000	2766	97	100	0.3467	7	2.67
T2_FOM_000000000027	8.0349	1203	0.0000	100.0000	1203	49	48	0.3546	7	4.76
T2_FOM_000000000028	7.6858	2613	0.0000	98.9284	2585	106	95	0.3412	7	3.95
T2_FOM_000000000029	9.8979	2282	0.0000	99.7371	2276	107	119	0.3313	10	3.68
T2_FOM_000000000030	6.9945	1830	0.0000	99.8361	1827	66	62	0.3587	7	2.92
T2_FOM_000000000031	49.3121	1333	0.0000	100.0000	1333	315	341	0.3905	33	43.90
T2_FOM_000000000032	743.1451	1220	0.0000	100.0000	1220	4507	4583	0.3692	7	1154.66
T2_FOM_000000000033	6.9794	1893	0.0000	98.9963	1874	66	66	0.3265	7	2.52
T2_FOM_000000000034	8.1099	2565	0.0000	100.0000	2565	103	105	0.3141	8	3.22
T2_FOM_000000000035	7.2908	3332	0.0000	100.0000	3332	123	120	0.3377	7	2.91
T2_FOM_000000000036	8.1550	4954	0.0000	100.0000	4954	204	200	0.3366	8	2.59
T2_FOM_000000000037	8.0518	4270	0.0000	100.0000	4270	171	173	0.3298	8	2.54
T2_FOM_000000000038	9.6754	4907	0.0000	100.0000	4907	238	237	0.3285	9	4.55
T2_FOM_000000000039	6.3215	2560	0.0000	100.0000	2560	78	84	0.3744	6	2.26
T2_FOM_000000000040	7.8294	1008	0.0000	97.6190	984	37	42	0.3333	7	4.85
T2_FOM_000000000041	8.1228	1034	0.0000	100.0000	1034	45	39	0.2719	8	3.00
T2_FOM_000000000042	7.0493	3955	0.0000	100.0000	3955	141	138	0.3380	7	2.60
T2_FOM_000000000043	27.7421	1012	0.0000	99.5059	1007	147	134	0.3752	17	23.37
T2_FOM_000000000044	36.8525	2779	0.0000	100.0000	2779	517	507	0.4192	11	46.26
T2_FOM_000000000045	9.7115	1442	0.0000	100.0000	1442	72	68	0.3095	10	4.81
T2_FOM_000000000046	16.1055	1811	0.0000	99.9448	1810	148	144	0.3405	15	7.13
T2_FOM_000000000047	7.6303	1612	0.0000	100.0000	1612	61	62	0.3121	8	2.44
T2_FOM_000000000048	6.5245	1487	0.0000	100.0000	1487	51	46	0.3868	6	2.94
T2_FOM_000000000049	14.1520	1697	0.0000	100.0000	1697	123	117	0.3223	13	5.76
T2_FOM_000000000050	12.9578	2274	0.0000	99.9560	2273	137	157	0.2282	9	11.59
T2_FOM_000000000051	8.3994	3167	0.0000	100.0000	3167	133	133	0.3287	8	2.69
T2_FOM_000000000052	9.3483	1829	0.0000	98.3598	1799	88	83	0.3132	9	5.15
T2_FOM_000000000053	8.1660	5254	0.0000	100.0000	5254	212	217	0.2588	8	3.52
T2_FOM_000000000054	7.3902	2217	0.0000	100.0000	2217	80	84	0.2798	7	2.94
T2_FOM_000000000055	8.5145	4134	0.0000	100.0000	4134	176	176	0.3325	8	3.48
T2_FOM_000000000056	9.5826	1320	0.0000	100.0000	1320	58	69	0.3876	9	4.85
T2_FOM_000000000057	7.8867	6921	0.0000	99.6821	6899	271	275	0.3170	8	3.10
T2_FOM_000000000058	8.8380	1222	0.0000	100.0000	1222	55	53	0.3632	8	5.23
T2_FOM_000000000059	7.7360	2443	0.0000	100.0000	2443	91	98	0.3675	8	2.92
T2_FOM_000000000060	8.3561	5779	0.0000	99.9827	5778	237	246	0.3745	8	3.32
T2_FOM_000000000061	7.2175	3242	0.0000	100.0000	3242	112	122	0.3187	7	2.31
T2_FOM_000000000062	10.7317	2930	0.0000	100.0000	2930	156	159	0.3303	11	4.14
T2_FOM_000000000063	9.7211	2212	0.0000	99.9096	2210	107	108	0.4409	8	6.30
T2_FOM_000000000064	7.7253	5268	0.0000	100.0000	5268	203	204	0.3527	8	2.42
T2_FOM_000000000065	6.8906	1408	0.0000	100.0000	1408	49	48	0.3193	6	2.56
T2_FOM_000000000066	5.8242	1217	0.0000	100.0000	1217	37	34	0.3430	6	2.37
T2_FOM_000000000067	6.9706	2823	0.0000	100.0000	2823	98	99	0.3440	7	2.64
T2_FOM_000000000068	6.6963	2628	0.0000	99.9619	2627	88	88	0.3667	7	2.47
T2_FOM_000000000069	7.6120	1956	0.0000	100.0000	1956	75	74	0.3874	7	3.57
T2_FOM_000000000070	7.9861	5678	0.0000	100.0000	5678	224	230	0.3467	7	3.26
T2_FOM_000000000071	3.7720	1640	0.0000	98.5366	1616	33	29	0.4194	4	1.75
T2_FOM_000000000072	11.9493	1222	0.0000	100.0000	1222	75	71	0.3264	11	5.86
T2_FOM_000000000073	8.7110	6646	0.0000	99.7292	6628	286	293	0.2918	9	3.64
T2_FOM_000000000074	7.8399	2130	0.0000	99.4366	2118	81	86	0.3076	8	3.38
T2_FOM_000000000075	6.8871	1089	0.0000	97.7961	1065	37	38	0.3881	7	3.44
T2_FOM_000000000076	6.9262	2209	0.0000	100.0000	2209	77	76	0.3690	7	2.66
T2_FOM_000000000077	7.1967	2390	0.0000	100.0000	2390	81	91	0.3250	7	2.40
T2_FOM_000000000078	8.7976	5399	0.0000	100.0000	5399	245	230	0.3169	9	3.16
T2_FOM_000000000079	11.4462	1273	0.0000	95.3653	1214	72	74	0.2830	11	6.46
T2_FOM_000000000080	7.9673	2109	0.0000	100.0000	2109	84	84	0.3655	8	3.38
T2_FOM_000000000081	20.4354	1424	0.0000	100.0000	1424	144	147	0.3326	12	19.63
T2_FOM_000000000082	7.9184	2966	0.0000	99.4943	2951	117	118	0.3309	8	2.73
T2_FOM_000000000083	7.0418	1292	0.0000	98.8390	1277	45	46	0.3701	7	3.21
T2_FOM_000000000084	8.0000	1275	0.0000	100.0000	1275	53	49	0.3669	8	3.72
T2_FOM_000000000085	10.4118	3611	0.0000	99.8892	3607	196	180	0.3345	8	8.01
T2_FOM_000000000086	8.1549	4856	0.0000	100.0000	4856	200	196	0.3749	8	3.73
T2_FOM_000000000087	7.5321	2881	0.0000	100.0000	2881	108	109	0.3050	8	2.91
T2_FOM_000000000088	11.0774	1046	0.0000	99.6176	1042	63	53	0.2821	12	5.67
T2_FOM_000000000089	7.3185	9865	0.0000	99.9797	9863	361	361	0.3711	7	2.50
T2_FOM_000000000090	12.3239	1837	0.0000	99.9456	1836	108	119	0.3208	9	8.17
T2_FOM_000000000091	8.3284	5752	0.0000	100.0000	5752	237	242	0.3300	8	3.06
T2_FOM_000000000092	14.8449	1953	0.0000	100.0000	1953	148	142	0.3223	12	9.66
T2_FOM_000000000093	8.6623	5689	0.0000	100.0000	5689	253	240	0.3325	8	3.49
T2_FOM_000000000094	8.3821	7682	0.0000	99.8959	7674	325	319	0.3541	8	2.75
T2_FOM_000000000095	7.8622	7055	0.0000	100.0000	7055	275	280	0.2387	8	2.77
T2_FOM_000000000096	8.5504	3147	0.0000	100.0000	3147	135	134	0.3671	8	3.26
T2_FOM_000000000097	8.1357	1326	0.0000	98.7934	1310	58	50	0.3525	9	3.35
T2_FOM_000000000098	8.3774	4452	0.0000	100.0000	4452	187	186	0.3621	9	3.22
T2_FOM_000000000099	10.0369	1112	0.0000	100.0000	1112	52	60	0.3247	9	5.47
T2_FOM_000000000100	13.9687	2014	0.0000	98.0139	1974	142	139	0.3012	12	7.87
T2_FOM_000000000101	6.9928	5532	0.0000	99.9819	5531	196	191	0.2803	7	3.02
T2_FOM_000000000102	6.3128	2091	0.0000	100.0000	2091	64	68	0.3674	6	2.07
T2_FOM_000000000103	8.8007	1535	0.0000	98.6971	1515	65	70	0.3239	9	4.42
T2_FOM_000000000104	7.6253	4065	0.0000	100.0000	4065	153	157	0.3136	7	3.03
