Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ANT_1	100.0	0.21	Neural Network (Specific Model)	11	0.879	90909	310.6133868243243	5014991	0.55	4736	129	330868	None
ANT_2	88.78	2.45	Neural Network (Specific Model)	11	0.811	240601	296.56663351566385	4404787	0.54	4022	260	546623	None
ANT_3	92.63	3.99	Neural Network (Specific Model)	11	0.805	335469	305.5788958496476	5808060	0.52	5108	379	740245	None
CHQ_1	100.0	0.14	Neural Network (Specific Model)	11	0.883	289664	312.1923376118242	5447526	0.58	5142	54	461267	None
CHQ_2	100.0	2.23	Neural Network (Specific Model)	11	0.867	277461	290.22823779193203	2832608	0.35	2826	32	511058	None
CHQ_3	100.0	0.14	Neural Network (Specific Model)	11	0.884	302539	311.9137696640124	5444211	0.58	5149	55	584559	None
CHQ_4	100.0	2.13	Neural Network (Specific Model)	11	0.868	203393	290.39985795454544	2821583	0.35	2816	34	510813	None
FOM_1	100.0	0.26	Neural Network (Specific Model)	11	0.872	378091	301.4779220779221	2392799	0.35	2310	20	698448	None
FOM_10	24.29	0.0	Neural Network (Specific Model)	11	0.917	236999	313.0855614973262	382654	0.4	374	4	236999	None
FOM_11	94.96	1.13	Neural Network (Specific Model)	11	0.911	20916	304.42351598173514	1752434	0.39	1752	117	87486	None
FOM_2	89.8	6.53	Neural Network (Specific Model)	11	0.88	149657	306.65763052208837	2079728	0.45	1992	17	432038	None
FOM_3	81.61	11.05	Neural Network (Specific Model)	11	0.891	16258	297.647473560517	1702512	0.4	1702	185	82456	None
FOM_4	70.1	1.14	Neural Network (Specific Model)	11	0.87	106660	291.7378839590444	1471284	0.37	1465	57	168474	None
FOM_5	59.58	0.17	Neural Network (Specific Model)	11	0.888	100273	338.1603053435114	1345865	0.46	1179	24	183094	None
FOM_6	100.0	12.59	Neural Network (Specific Model)	11	0.883	76401	270.51428571428573	2408872	0.39	2625	277	641292	None
FOM_7	63.07	3.05	Neural Network (Specific Model)	11	0.868	2426	220.2253811289658	1843787	0.35	2427	828	14322	None
FOM_8	23.66	3.46	Neural Network (Specific Model)	11	0.886	2058	233.7643051771117	579550	0.45	734	275	36007	None
FOM_9	99.8	2.71	Neural Network (Specific Model)	11	0.885	114557	310.9561558901683	2376310	0.45	2258	34	208526	None
UBT_1	66.36	19.6	Neural Network (Specific Model)	11	0.896	37933	328.0794078061911	1630148	0.46	1486	73	147247	None
UBT_2	27.03	4.01	Neural Network (Specific Model)	11	0.891	23014	299.33098591549293	571615	0.45	568	35	55062	None
UBT_3	97.16	55.82	Neural Network (Specific Model)	11	0.877	45573	297.0084663763909	4196441	0.45	4134	174	147247	None
UBT_4	20.31	0.06	Neural Network (Specific Model)	11	0.898	82201	300.67282321899734	380250	0.4	379	7	93327	None
UBT_5	71.56	0.03	Neural Network (Specific Model)	11	0.914	70376	308.4846570397112	1120431	0.39	1108	28	154517	None
