user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ANT_1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014838825.1, s__Erwinia persicina_A, 95.0, 86.72, 0.591; GCF_001571305.1, s__Erwinia persicina, 95.0, 86.31, 0.558; GCF_001756855.1, s__Erwinia dacicola, 95.0, 86.12, 0.263; GCF_012271765.1, s__Erwinia rhapontici, 95.0, 85.55, 0.499; GCF_024169515.1, s__Erwinia aphidicola, 95.0, 84.73, 0.418; GCF_009738185.1, s__Erwinia sp009738185, 95.0, 84.64, 0.446; GCF_016909495.1, s__Erwinia coffeiphila, 95.0, 82.07, 0.245; GCF_003751505.1, s__Erwinia sp003751505, 95.0, 81.85, 0.261; GCF_018141005.1, s__Erwinia sp001422605, 95.0, 81.57, 0.226; GCF_000026185.1, s__Erwinia tasmaniensis, 95.0, 81.25, 0.228; GCF_000026985.1, s__Erwinia pyrifoliae, 95.0, 81.17, 0.233; GCF_001050515.1, s__Erwinia piriflorinigrans, 95.0, 81.07, 0.243; GCA_913775305.1, s__Erwinia sp913775305, 95.0, 81.04, 0.2; GCF_000196615.1, s__Erwinia billingiae, 95.0, 80.71, 0.18; GCF_017161565.1, s__Erwinia amylovora, 95.0, 80.62, 0.224; GCF_009765445.1, s__Erwinia sp009765445, 95.0, 80.44, 0.154	97.62	11	0.99305	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
ANT_2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea eucalypti	GCF_009646115.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea eucalypti	97.53	0.849	GCF_009646115.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea eucalypti	97.53	0.849	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900115075.1, s__Pantoea varia, 95.0, 91.23, 0.753; GCF_030062155.1, s__Pantoea sp030062155, 95.0, 91.08, 0.752; GCF_013415305.1, s__Pantoea rara, 95.0, 91.01, 0.748; GCF_001598475.1, s__Pantoea agglomerans, 95.0, 90.19, 0.725; GCF_008632075.1, s__Pantoea gossypiicola, 95.0, 89.88, 0.699; GCF_004792415.1, s__Pantoea vagans, 95.0, 89.82, 0.708; GCF_019880205.1, s__Pantoea sp003512445, 95.0, 89.44, 0.713; GCF_029844725.1, s__Pantoea sp029844725, 95.0, 89.43, 0.685; GCF_006494375.1, s__Pantoea anthophila, 95.0, 87.68, 0.632; GCF_003236715.1, s__Pantoea sp003236715, 95.0, 87.52, 0.594; GCF_022647325.1, s__Pantoea deleyi, 95.0, 87.51, 0.628; GCF_002095315.1, s__Pantoea conspicua, 95.0, 86.3, 0.481; GCF_021397715.1, s__Pantoea astica, 95.0, 86.0, 0.518; GCA_002095305.1, s__Pantoea brenneri, 95.0, 85.91, 0.5; GCA_009830035.1, s__Pantoea sp009830035, 95.0, 84.63, 0.371; GCF_018842675.1, s__Pantoea bituminis, 95.0, 82.02, 0.256; GCF_027157825.1, s__Pantoea haifensis, 95.0, 81.72, 0.231; GCF_002077695.1, s__Pantoea latae, 95.0, 81.44, 0.245; GCF_020149765.1, s__Pantoea alvi, 95.0, 81.34, 0.227; GCF_002307475.1, s__Pantoea allii, 95.0, 81.34, 0.212; GCF_014946725.1, s__Pantoea mediterraneensis, 95.0, 81.23, 0.202; GCF_000710035.2, s__Pantoea ananatis, 95.0, 81.16, 0.185; GCF_003612015.1, s__Pantoea piersonii, 95.0, 81.13, 0.218; GCF_008801695.1, s__Pantoea stewartii, 95.0, 81.08, 0.188; GCF_024707505.1, s__Pantoea symbiotica, 95.0, 81.07, 0.205; GCF_014155765.1, s__Pantoea dispersa, 95.0, 81.05, 0.2; GCF_002095485.1, s__Pantoea wallisii, 95.0, 81.0, 0.199; GCF_002095575.1, s__Pantoea septica, 95.0, 80.98, 0.22; GCA_900068845.1, s__Pantoea ludwigii_A, 95.0, 80.94, 0.188; GCF_028048155.1, s__Pantoea leporis, 95.0, 80.91, 0.194; GCF_013385945.1, s__Pantoea sp013385945, 95.0, 80.88, 0.212; GCF_003813865.1, s__Pantoea deserta, 95.0, 80.87, 0.217; GCF_028283705.1, s__Pantoea sp028283705, 95.0, 80.81, 0.186; GCA_900215435.1, s__Pantoea floridensis, 95.0, 80.7, 0.185; GCF_016625195.1, s__Pantoea sp016625195, 95.0, 80.65, 0.191; GCF_002095535.1, s__Pantoea cypripedii, 95.0, 80.64, 0.196; GCF_011395035.1, s__Pantoea cypripedii_A, 95.0, 80.6, 0.201; GCF_007833795.1, s__Pantoea soli, 95.0, 80.56, 0.191; GCF_000175935.2, s__Pantoea sp000175935, 95.0, 80.53, 0.182; GCF_000773965.1, s__Pantoea communis, 95.0, 80.46, 0.168; GCF_009728735.1, s__Pantoea phytobeneficialis, 95.0, 80.42, 0.173; GCF_000759475.1, s__Pantoea rwandensis_B, 95.0, 80.38, 0.167; GCF_002095465.1, s__Pantoea rodasii, 95.0, 80.37, 0.17; GCF_020179835.1, s__Pantoea sp020179835, 95.0, 80.25, 0.169; GCF_001691555.1, s__Pantoea borealis, 95.0, 80.25, 0.161; GCF_001187905.1, s__Pantoea sp001187905, 95.0, 80.22, 0.19; GCF_001506165.1, s__Pantoea vagans_C, 95.0, 80.15, 0.156; GCF_002095385.1, s__Pantoea eucrina, 95.0, 80.06, 0.174; GCF_013753875.1, s__Pantoea persica, 95.0, 79.84, 0.159; GCA_913775175.1, s__Pantoea sp913775175, 95.0, 79.83, 0.161	79.64	11	N/A	N/A
ANT_3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella sp002834385	GCF_002834385.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella sp002834385	96.24	0.746	GCF_002834385.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella sp002834385	96.24	0.746	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_015644585.1, s__Rahnella laticis, 95.0, 91.09, 0.596; GCF_011065485.1, s__Rahnella contaminans, 95.0, 89.79, 0.613; GCF_002951615.1, s__Rahnella sikkimica, 95.0, 89.49, 0.557; GCF_003602095.1, s__Rahnella woolbedingensis, 95.0, 86.54, 0.446; GCF_019049625.1, s__Rahnella ecdela, 95.0, 86.35, 0.455; GCF_004330295.1, s__Rahnella victoriana, 95.0, 86.33, 0.473; GCF_019049755.1, s__Rahnella perminowiae, 95.0, 86.3, 0.401; GCF_011684115.1, s__Rahnella aceris, 95.0, 86.27, 0.474; GCF_003610915.1, s__Rahnella variigena, 95.0, 86.24, 0.433; GCF_003614975.1, s__Rahnella bruchi, 95.0, 86.19, 0.455; GCF_019049675.1, s__Rahnella bonaserana, 95.0, 86.16, 0.449; GCF_000241955.1, s__Rahnella aquatilis, 95.0, 86.05, 0.447; GCF_019049655.1, s__Rahnella rivi, 95.0, 85.35, 0.391; GCF_003263515.1, s__Rahnella inusitata, 95.0, 85.18, 0.429; GCA_013457415.1, s__Rahnella sp013457415, 95.0, 84.92, 0.397	83.3	11	N/A	N/A
CHQ_1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae	GCF_020525925.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae	96.47	0.87	GCF_000742135.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	93.85	0.819	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000828055.2, s__Klebsiella variicola, 95.0, 93.85, 0.862; GCF_002269255.1, s__Klebsiella quasivariicola, 95.0, 93.16, 0.828; GCF_020526085.1, s__Klebsiella africana, 95.0, 93.13, 0.816; GCA_902490055.1, s__Klebsiella sp902490055, 95.0, 87.41, 0.478; GCF_000215745.1, s__Klebsiella aerogenes, 95.0, 85.8, 0.504; GCA_029027985.1, s__Klebsiella aerogenes_A, 95.0, 85.35, 0.479; GCF_002925905.1, s__Klebsiella michiganensis, 95.0, 85.17, 0.489; GCF_900200035.1, s__Klebsiella grimontii, 95.0, 85.05, 0.478; GCF_001598695.1, s__Klebsiella oxytoca, 95.0, 84.4, 0.439; GCF_006539725.1, s__Klebsiella terrigena, 95.0, 84.2, 0.452; GCF_004342285.1, s__Klebsiella sp004342285, 95.0, 84.09, 0.416; GCF_009707385.1, s__Klebsiella oxytoca_C, 95.0, 84.09, 0.409; GCF_002270295.1, s__Klebsiella sp002270295, 95.0, 84.06, 0.43; GCA_013705725.1, s__Klebsiella sp013705725, 95.0, 83.88, 0.393; GCF_902158555.1, s__Klebsiella spallanzanii, 95.0, 83.85, 0.392; GCF_014298075.1, s__Klebsiella sp003752615, 95.0, 83.78, 0.403; GCF_000735435.1, s__Klebsiella planticola, 95.08, 83.71, 0.412; GCF_006711645.1, s__Klebsiella electrica, 95.0, 83.58, 0.377; GCF_001598295.1, s__Klebsiella ornithinolytica, 95.0, 83.49, 0.404; GCF_003261575.2, s__Klebsiella huaxiensis, 95.0, 83.47, 0.364; GCF_005860775.1, s__Klebsiella indica, 95.0, 82.6, 0.303	95.91	11	N/A	N/A
CHQ_2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.72	0.812	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.72	0.812	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001591705.1, s__Lactococcus cremoris, 95.0, 87.94, 0.572; GCF_014905395.1, s__Lactococcus taiwanensis, 95.0, 84.34, 0.198	95.85	11	N/A	N/A
CHQ_3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae	GCF_020525925.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae	96.47	0.871	GCF_000742135.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	93.88	0.818	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000828055.2, s__Klebsiella variicola, 95.0, 93.87, 0.861; GCF_002269255.1, s__Klebsiella quasivariicola, 95.0, 93.29, 0.827; GCF_020526085.1, s__Klebsiella africana, 95.0, 93.13, 0.815; GCA_902490055.1, s__Klebsiella sp902490055, 95.0, 87.41, 0.478; GCF_000215745.1, s__Klebsiella aerogenes, 95.0, 85.87, 0.499; GCA_029027985.1, s__Klebsiella aerogenes_A, 95.0, 85.28, 0.479; GCF_002925905.1, s__Klebsiella michiganensis, 95.0, 85.27, 0.487; GCF_900200035.1, s__Klebsiella grimontii, 95.0, 85.07, 0.474; GCF_001598695.1, s__Klebsiella oxytoca, 95.0, 84.31, 0.439; GCF_006539725.1, s__Klebsiella terrigena, 95.0, 84.19, 0.452; GCF_009707385.1, s__Klebsiella oxytoca_C, 95.0, 84.05, 0.407; GCF_002270295.1, s__Klebsiella sp002270295, 95.0, 83.99, 0.428; GCF_004342285.1, s__Klebsiella sp004342285, 95.0, 83.99, 0.413; GCA_013705725.1, s__Klebsiella sp013705725, 95.0, 83.91, 0.393; GCF_902158555.1, s__Klebsiella spallanzanii, 95.0, 83.86, 0.39; GCF_014298075.1, s__Klebsiella sp003752615, 95.0, 83.77, 0.401; GCF_000735435.1, s__Klebsiella planticola, 95.08, 83.71, 0.412; GCF_006711645.1, s__Klebsiella electrica, 95.0, 83.6, 0.379; GCF_003261575.2, s__Klebsiella huaxiensis, 95.0, 83.54, 0.363; GCF_001598295.1, s__Klebsiella ornithinolytica, 95.0, 83.45, 0.402; GCF_005860775.1, s__Klebsiella indica, 95.0, 82.56, 0.302	95.91	11	N/A	N/A
CHQ_4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.55	0.812	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.55	0.812	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001591705.1, s__Lactococcus cremoris, 95.0, 87.95, 0.572; GCF_014905395.1, s__Lactococcus taiwanensis, 95.0, 84.53, 0.197	95.85	11	N/A	N/A
FOM_1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.9	0.872	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.9	0.872	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001591705.1, s__Lactococcus cremoris, 95.0, 87.83, 0.573; GCF_014905395.1, s__Lactococcus taiwanensis, 95.0, 85.86, 0.196	97.4	11	N/A	N/A
FOM_10	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	GCF_004354555.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	99.23	1	GCF_004354555.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	99.23	1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	17.46	11	N/A	N/A
FOM_11	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	GCF_014634745.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	98.8	0.913	GCF_014634745.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	98.8	0.913	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014634805.1, s__Leuconostoc falkenbergense, 95.0, 92.82, 0.799	88.28	11	N/A	N/A
