Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ANT_1	100.0	0.31	Neural Network (Specific Model)	11	0.879	90909	311.3445917058572	4963337	0.55	4678	121	330868	None
ANT_2	87.39	0.12	Neural Network (Specific Model)	11	0.813	240601	297.0131779016726	4315729	0.54	3946	238	546623	None
ANT_3	89.47	3.16	Neural Network (Specific Model)	11	0.818	335469	309.2483713355049	5562290	0.52	4912	295	740245	None
CHQ_1	100.0	0.1	Neural Network (Specific Model)	11	0.883	289664	312.7406899255194	5413859	0.58	5102	51	461267	None
CHQ_2	100.0	2.07	Neural Network (Specific Model)	11	0.866	277461	289.0760043431053	2761070	0.35	2763	29	511058	None
CHQ_3	100.0	0.1	Neural Network (Specific Model)	11	0.884	302539	312.49608457321847	5410544	0.58	5108	52	584559	None
CHQ_4	100.0	1.99	Neural Network (Specific Model)	11	0.868	203393	289.79411764705884	2787349	0.35	2788	31	510813	None
FOM_1	100.0	0.26	Neural Network (Specific Model)	11	0.872	378091	301.5208152645273	2388691	0.35	2306	19	698448	None
FOM_10	21.04	0.0	Neural Network (Specific Model)	11	0.923	236999	321.7358490566038	331869	0.39	318	3	236999	None
FOM_11	92.68	0.27	Neural Network (Specific Model)	11	0.911	21053	304.9804147465438	1739679	0.39	1736	116	87486	None
FOM_2	80.25	0.53	Neural Network (Specific Model)	11	0.879	149657	308.37311767986614	1884090	0.45	1793	15	432038	None
FOM_3	78.97	1.92	Neural Network (Specific Model)	11	0.887	15137	298.07728494623655	1497038	0.4	1488	177	54705	None
FOM_4	62.08	0.12	Neural Network (Specific Model)	11	0.871	103502	292.0277563608327	1302278	0.37	1297	55	168474	None
FOM_5	59.58	0.17	Neural Network (Specific Model)	11	0.888	100273	338.1603053435114	1345865	0.46	1179	24	183094	None
FOM_6	100.0	0.08	Neural Network (Specific Model)	11	0.906	255145	302.23387549074596	1780475	0.39	1783	20	641292	None
FOM_7	62.43	3.13	Neural Network (Specific Model)	11	0.868	2418	219.95285359801488	1834436	0.35	2418	825	14322	None
FOM_8	23.43	2.79	Neural Network (Specific Model)	11	0.885	2070	234.14697802197801	576278	0.45	728	273	36007	None
FOM_9	99.8	2.71	Neural Network (Specific Model)	11	0.885	114557	310.9561558901683	2376310	0.45	2258	34	208526	None
UBT_1	65.18	8.83	Neural Network (Specific Model)	11	0.892	42238	316.54767726161367	1304602	0.45	1227	48	147247	None
UBT_2	23.41	2.78	Neural Network (Specific Model)	11	0.892	29005	299.50588235294117	513453	0.45	510	30	55062	None
UBT_3	78.64	5.98	Neural Network (Specific Model)	11	0.885	59653	304.0627431906615	2116374	0.45	2056	59	134173	None
UBT_4	71.61	6.49	Neural Network (Specific Model)	11	0.888	45573	313.621875	1694157	0.45	1600	51	147247	None
UBT_5	71.56	0.03	Neural Network (Specific Model)	11	0.914	70376	308.4846570397112	1120431	0.39	1108	28	154517	None
