module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00168	T3_UBT_000000057270	CAM (Crassulacean acid metabolism), dark	Pathway modules	Energy metabolism	Carbon fixation	"K01595 (K00025,K00026,K00024)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00172	T3_UBT_000000057270	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K00051 K00029 K01006"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00171	T3_UBT_000000057270	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K14454 K14455 (K00025,K00026) K00028 (K00814,K14272) K01006"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00170	T3_UBT_000000057270	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K14454 K14455 K01610"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00173	T3_UBT_000000057270	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)"	0.0	False	0.09090909090909091	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00374	T3_UBT_000000057270	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626"	0.07692307692307693	False	0.07692307692307693	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00346	T3_UBT_000000057270	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	"K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691"	0.1111111111111111	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00614	T3_UBT_000000057270	Anoxygenic photosynthesis in green sulfur bacteria	Signature modules	Module set	Metabolic capacity	"M00598 M00173"	0.0	False	0.045454545454545456	False	NA	No enzymes unique to module	NA	K01595,K01595,K01595,K01595	148522,148521,148525,148524	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614
M00024	T3_UBT_000000054141	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K05359	103313	K05359 is present in multiple modules: M00024/M00910
M00910	T3_UBT_000000054141	Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"K01850 K15849 K05359"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K05359	103313	K05359 is present in multiple modules: M00024/M00910
