module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00844	T2_FAC_000000071866	Arginine biosynthesis, ornithine => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00611 K01940 (K01755,K14681)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K01755,K01755	301528,301527	K01755 is present in multiple modules: M00844/M00845/M00029
M00845	T2_FAC_000000071866	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K22478 K00145 K00821 K09065 K01438 K01940 K01755"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01755,K01755	301528,301527	K01755 is present in multiple modules: M00844/M00845/M00029
M00029	T2_FAC_000000071866	Urea cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K01948 K00611 K01940 (K01755,K14681) K01476"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01755,K01755	301528,301527	K01755 is present in multiple modules: M00844/M00845/M00029
M00046	T2_FAC_000000108379	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K00207,K17722+K17723) K01464 (K01431,K06016)"	0.3333333333333333	False	0.3333333333333333	False	1.0	K01431	1	K01431	124725	None
M00014	T2_FAC_000000036040	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"	0.125	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00012	259936	K00012 is present in multiple modules: M00014/M00129,'--' steps are assumed incomplete
M00129	T2_FAC_000000036040	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00012	259936	K00012 is present in multiple modules: M00014/M00129
M00114	T2_FAC_000000110789	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225"	0.125	False	0.125	False	1.0	K00966	1	K00966	191027	None
M00003	T2_FAC_000000040160	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	0.0	False	0.125	False	NA	No enzymes unique to module	NA	K03841	128067	K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612
M00165	T2_FAC_000000040160	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.09090909090909091	False	0.09090909090909091	False	NA	No enzymes unique to module	NA	K03841	128067	K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612
M00167	T2_FAC_000000040160	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	"(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K03841	128067	K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612
